source,target
59,30925
59,194736
59,262789
59,277265
59,340052
59,431010
59,481267
59,491807
59,531181
251,545796
254,547522
254,548091
1875,308631
1875,364287
1875,454785
1875,506614
1875,534970
1875,548091
1881,545554
2715,283321
3380,234663
3380,534814
3813,241168
3813,508036
3813,508038
4282,544481
4388,265831
4533,109835
4533,148126
4533,175519
4533,273079
4533,292857
4533,545746
4534,175519
4534,292857
5180,118604
5180,140890
5315,548091
5473,207439
5473,548091
5568,201595
6098,69253
6098,128353
6098,214182
6098,235412
6098,343366
6098,369967
6098,476815
6098,544535
6246,543130
6246,545385
6631,230418
6647,129194
7152,544481
7409,92061
7409,543849
7409,548267
7640,156543
7640,201840
7640,208395
7640,213437
7640,213438
7640,263443
7640,267195
7640,386708
7640,544377
7640,545390
7640,548275
7707,545796
7953,11458
7953,11460
7953,23343
7953,23354
7953,31355
7953,38400
7953,60867
7953,100905
7953,115103
7953,119643
7953,154549
7953,155625
7953,167787
7953,178312
7953,191670
7953,222941
7953,315721
7953,543744
8116,364287
8116,506614
8248,170202
8254,399377
8300,467609
8339,461593
8339,479851
8339,543849
8398,208249
9182,30645
9182,39376
9182,44936
9182,46885
9182,53634
9182,58840
9182,65712
9182,69397
9182,80736
9182,85887
9182,90597
9182,115257
9182,121182
9182,127784
9182,138253
9182,155322
9182,170244
9182,172499
9182,217350
9182,262098
9182,265845
9182,298201
9182,315582
9182,323199
9182,333535
9182,348948
9182,349785
9182,380488
9182,380802
9182,399594
9182,412427
9182,420003
9182,426524
9182,428233
9182,453623
9182,515198
9182,522305
9182,533212
9182,533237
9182,534495
9182,542486
9182,544041
9182,545558
9182,545665
9182,545958
9182,547168
9182,547340
9182,547346
9182,547694
9182,548018
9182,548447
9274,546406
9640,56444
9640,76203
9640,544551
9640,545581
9640,546356
9804,548091
9875,547689
9886,14700
9886,21526
9886,24296
9886,54618
9886,83341
9886,116687
9886,138425
9886,217536
9886,229409
9886,249826
9886,349979
9886,410939
9886,423667
9886,507863
9886,542800
9886,545841
9886,546836
9886,547635
9890,9899
9890,133801
9890,154651
9890,180637
9890,269822
9890,514306
9899,133801
9899,180637
9899,543314
11237,11364
11237,118604
11237,186791
11309,292857
11344,465187
11364,118602
11364,118604
11364,186791
11483,546337
11627,384922
11627,538433
11627,544671
11627,548091
12000,158317
12000,231522
12000,429720
12000,505876
12000,548091
12163,138124
12163,155678
12163,245891
12163,312095
12163,547699
12219,399377
12363,202059
12778,77992
12778,188314
12778,248355
12778,398377
12880,547694
13149,305046
13592,200439
13592,239544
13592,269822
13592,546050
13592,548349
13813,125810
13813,253313
13813,544911
13813,547522
13928,219716
13928,252166
13928,264292
13928,346884
13928,506295
13928,545756
13928,548091
14380,504090
14380,504102
14380,548091
14387,55485
14387,62425
14387,82574
14387,82971
14387,121132
14387,252057
14387,387144
14387,410236
14387,545544
14387,547581
14414,547128
14700,542800
14700,548091
15167,111443
15167,499586
15167,521590
15167,547697
15279,548091
15288,208249
15510,56835
15510,277034
15510,548091
15800,31355
15800,402723
15800,548091
16138,59866
16138,182974
16138,278225
16138,363478
16138,548331
16481,139082
16481,163808
16481,320511
17098,132741
17098,165158
17098,542416
17098,548091
17421,277034
17673,543130
17673,545385
17673,546359
17730,28821
17730,544268
17730,547522
17730,548179
17853,268334
17882,534814
17884,534814
17900,39438
17900,54329
17900,469684
18232,96590
18232,108499
18232,117069
18232,168575
18232,179052
18232,194736
18232,218678
18232,226999
18232,260605
18232,277265
18232,277271
18232,283321
18232,413008
18232,529739
18232,531181
18232,544160
18232,545039
18232,546048
18232,546133
18232,548074
18262,410236
18262,547581
18262,548091
18263,545726
18294,548091
18379,166705
18459,185365
18459,324329
18459,331652
18459,456916
18459,499932
18459,530716
18491,548030
18714,548091
18827,546567
18914,51813
18914,96590
18914,276142
18914,543552
18931,83157
18931,525850
18931,548091
18989,545545
18996,539456
19388,548091
19639,64285
19715,76891
19715,98500
19715,101489
19715,184606
19715,547727
19926,219716
20046,57317
20046,213143
20046,362820
20046,530778
20167,413303
20302,533197
20330,208249
20390,52077
20390,157984
20390,269084
20390,385046
20637,64419
20637,150053
20637,543814
20637,545011
20637,547699
20976,545726
21300,545137
21302,284524
21345,34864
21345,98500
21345,252131
21345,273921
21345,443387
21347,464335
21347,547164
21350,208249
21354,208249
21427,548091
22274,22275
22274,22279
22274,58821
22274,132268
22274,155155
22274,318136
22274,435889
22274,457101
22274,459153
22274,460095
22274,537412
22274,537413
22274,537414
22274,542425
22274,542888
22274,544573
22274,545832
22274,546098
22274,547023
22275,537414
22276,22279
22276,132866
22276,318136
22276,386170
22276,537413
22276,537414
22279,132866
22279,299918
22279,386170
22279,537413
22279,547023
22287,547133
22496,290353
22496,467609
22506,107788
22506,112436
22506,283321
22506,534645
22506,537110
22506,547320
22595,548091
22828,438939
23028,104219
23343,31355
23354,31355
23514,259708
